Date,price,year,region
3/22/15,1.1,2015,BaltimoreWashington
3/15/15,1.24,2015,BaltimoreWashington
3/8/15,1.26,2015,BaltimoreWashington
3/1/15,1.16,2015,BaltimoreWashington
2/22/15,1.11,2015,BaltimoreWashington
2/15/15,1.25,2015,BaltimoreWashington
2/8/15,1.09,2015,BaltimoreWashington
2/1/15,1.06,2015,BaltimoreWashington
1/25/15,1.2,2015,BaltimoreWashington
1/18/15,1.23,2015,BaltimoreWashington
1/11/15,1.17,2015,BaltimoreWashington
1/4/15,1.08,2015,BaltimoreWashington
12/27/15,0.97,2015,Boise
12/20/15,1.03,2015,Boise
12/13/15,0.99,2015,Boise
12/6/15,0.71,2015,Boise
11/29/15,1.06,2015,Boise
11/22/15,1.09,2015,Boise
11/15/15,1.01,2015,Boise
11/8/15,1.11,2015,Boise
11/1/15,1.14,2015,Boise
10/25/15,1.11,2015,Boise
10/18/15,1.16,2015,Boise
10/11/15,0.94,2015,Boise
10/4/15,1.12,2015,Boise
9/27/15,0.99,2015,Boise
9/20/15,1.03,2015,Boise
9/13/15,1.08,2015,Boise
9/6/15,1.16,2015,Boise
8/30/15,1.19,2015,Boise
8/23/15,1.05,2015,Boise
8/16/15,1.12,2015,Boise
8/9/15,1.1,2015,Boise
8/2/15,1.07,2015,Boise
7/26/15,1.07,2015,Boise
7/19/15,1.09,2015,Boise
7/12/15,1.05,2015,Boise
7/5/15,1.15,2015,Boise
6/28/15,1.04,2015,Boise
6/21/15,1.06,2015,Boise
6/14/15,0.99,2015,Boise
6/7/15,1.12,2015,Boise
5/31/15,0.97,2015,Boise
5/24/15,1.03,2015,Boise
5/17/15,0.96,2015,Boise
5/10/15,1.06,2015,Boise
5/3/15,1,2015,Boise
4/26/15,0.96,2015,Boise
4/19/15,0.99,2015,Boise
4/12/15,1.19,2015,Boise
4/5/15,1.09,2015,Boise
3/29/15,0.98,2015,Boise
3/22/15,1.17,2015,Boise
3/15/15,1,2015,Boise
3/8/15,1.14,2015,Boise
3/1/15,1.06,2015,Boise
2/22/15,0.99,2015,Boise
2/15/15,1.14,2015,Boise
2/8/15,1.07,2015,Boise
2/1/15,0.91,2015,Boise
1/25/15,1.03,2015,Boise
1/18/15,1.08,2015,Boise
1/11/15,1.18,2015,Boise
1/4/15,1.01,2015,Boise
12/27/15,1.13,2015,Boston
12/20/15,1.07,2015,Boston
12/13/15,1.01,2015,Boston
12/6/15,1.02,2015,Boston
11/29/15,1.19,2015,Boston
11/22/15,1.07,2015,Boston
11/15/15,1.05,2015,Boston
11/8/15,1.04,2015,Boston
11/1/15,1.06,2015,Boston
10/25/15,1.02,2015,Boston
10/18/15,0.94,2015,Boston
10/11/15,1.14,2015,Boston
10/4/15,1.07,2015,Boston
9/27/15,1.07,2015,Boston
9/20/15,1.15,2015,Boston
9/13/15,1.03,2015,Boston
9/6/15,1.11,2015,Boston
8/30/15,1.13,2015,Boston
8/23/15,1.07,2015,Boston
8/16/15,1.15,2015,Boston
8/9/15,1.07,2015,Boston
8/2/15,1.17,2015,Boston
7/26/15,1.28,2015,Boston
7/19/15,1.18,2015,Boston
7/12/15,1.14,2015,Boston
7/5/15,1.27,2015,Boston
6/28/15,1.25,2015,Boston
6/21/15,1.24,2015,Boston
6/14/15,1.08,2015,Boston
6/7/15,1.25,2015,Boston
5/31/15,1.26,2015,Boston
5/24/15,1.14,2015,Boston
5/17/15,1.26,2015,Boston
5/10/15,1.14,2015,Boston
5/3/15,1.17,2015,Boston
4/26/15,1.28,2015,Boston
4/19/15,1.15,2015,Boston
4/12/15,1.26,2015,Boston
4/5/15,1.27,2015,Boston
3/29/15,1.19,2015,Boston
3/22/15,1.18,2015,Boston
3/15/15,1.25,2015,Boston
3/8/15,1.17,2015,Boston
3/1/15,1.11,2015,Boston
2/22/15,1.23,2015,Boston
2/15/15,1.2,2015,Boston
2/8/15,1.04,2015,Boston
2/1/15,1.22,2015,Boston
1/25/15,1.17,2015,Boston
1/18/15,1.23,2015,Boston
1/11/15,1.1,2015,Boston
1/4/15,1.02,2015,Boston
12/27/15,1.35,2015,BuffaloRochester
12/20/15,1.37,2015,BuffaloRochester
12/13/15,1.35,2015,BuffaloRochester
12/6/15,1.23,2015,BuffaloRochester
11/29/15,1.39,2015,BuffaloRochester
11/22/15,1.4,2015,BuffaloRochester
11/15/15,1.36,2015,BuffaloRochester
11/8/15,1.3,2015,BuffaloRochester
11/1/15,1.23,2015,BuffaloRochester
10/25/15,1.36,2015,BuffaloRochester
10/18/15,1.29,2015,BuffaloRochester
10/11/15,1.3,2015,BuffaloRochester
10/4/15,1.33,2015,BuffaloRochester
9/27/15,1.31,2015,BuffaloRochester
9/20/15,1.54,2015,BuffaloRochester
9/13/15,1.59,2015,BuffaloRochester
9/6/15,1.56,2015,BuffaloRochester
8/30/15,1.38,2015,BuffaloRochester
8/23/15,1.49,2015,BuffaloRochester
8/16/15,1.5,2015,BuffaloRochester
8/9/15,1.47,2015,BuffaloRochester
8/2/15,1.47,2015,BuffaloRochester
7/26/15,1.39,2015,BuffaloRochester
7/19/15,1.36,2015,BuffaloRochester
7/12/15,1.45,2015,BuffaloRochester
7/5/15,1.47,2015,BuffaloRochester
6/28/15,1.36,2015,BuffaloRochester
6/21/15,1.5,2015,BuffaloRochester
6/14/15,1.34,2015,BuffaloRochester
6/7/15,1.38,2015,BuffaloRochester
5/31/15,1.4,2015,BuffaloRochester
5/24/15,1.43,2015,BuffaloRochester
5/17/15,1.35,2015,BuffaloRochester
5/10/15,1.33,2015,BuffaloRochester
5/3/15,1.42,2015,BuffaloRochester
4/26/15,1.41,2015,BuffaloRochester
4/19/15,1.42,2015,BuffaloRochester
4/12/15,1.42,2015,BuffaloRochester
4/5/15,1.44,2015,BuffaloRochester
3/29/15,1.39,2015,BuffaloRochester
3/22/15,1.4,2015,BuffaloRochester
3/15/15,1.47,2015,BuffaloRochester
3/8/15,1.35,2015,BuffaloRochester
3/1/15,1.43,2015,BuffaloRochester
2/22/15,1.41,2015,BuffaloRochester
2/15/15,1.44,2015,BuffaloRochester
2/8/15,1.36,2015,BuffaloRochester
2/1/15,1.33,2015,BuffaloRochester
1/25/15,1.5,2015,BuffaloRochester
1/18/15,1.52,2015,BuffaloRochester
1/11/15,1.54,2015,BuffaloRochester
1/4/15,1.4,2015,BuffaloRochester
12/27/15,0.9,2015,California
12/20/15,0.94,2015,California
12/13/15,0.87,2015,California
12/6/15,0.78,2015,California
11/29/15,0.91,2015,California
11/22/15,0.92,2015,California
11/15/15,0.83,2015,California
11/8/15,0.98,2015,California
11/1/15,0.95,2015,California
10/25/15,1.12,2015,California
10/18/15,1.07,2015,California
10/11/15,1.08,2015,California
10/4/15,1.02,2015,California
9/27/15,1.04,2015,California
9/20/15,1.14,2015,California
9/13/15,1.13,2015,California
9/6/15,1.09,2015,California
8/30/15,1.08,2015,California
8/23/15,1.18,2015,California
8/16/15,1.11,2015,California
8/9/15,1.1,2015,California
8/2/15,1.16,2015,California
7/26/15,1.13,2015,California
7/19/15,1.18,2015,California
7/12/15,1.13,2015,California
7/5/15,1.12,2015,California
6/28/15,1.1,2015,California
6/21/15,1.07,2015,California
6/14/15,0.97,2015,California
6/7/15,0.98,2015,California
5/31/15,0.98,2015,California
5/24/15,1.1,2015,California
5/17/15,1.08,2015,California
5/10/15,0.93,2015,California
5/3/15,0.88,2015,California
4/26/15,1.15,2015,California
4/19/15,1.05,2015,California
4/12/15,1.06,2015,California
4/5/15,1.12,2015,California
3/29/15,1.1,2015,California
3/22/15,1.06,2015,California
3/15/15,1.06,2015,California
3/8/15,0.96,2015,California
3/1/15,0.84,2015,California
2/22/15,0.96,2015,California
2/15/15,0.96,2015,California
2/8/15,0.91,2015,California
2/1/15,0.85,2015,California
1/25/15,1.06,2015,California
1/18/15,1.02,2015,California
1/11/15,0.92,2015,California
1/4/15,0.93,2015,California
12/27/15,0.96,2015,Charlotte
12/20/15,0.98,2015,Charlotte
12/13/15,0.95,2015,Charlotte
12/6/15,0.99,2015,Charlotte
11/29/15,0.95,2015,Charlotte
11/22/15,1,2015,Charlotte
11/15/15,1.01,2015,Charlotte
11/8/15,1.03,2015,Charlotte
11/1/15,1.11,2015,Charlotte
10/25/15,1.27,2015,Charlotte
10/18/15,1.26,2015,Charlotte
10/11/15,1.14,2015,Charlotte
10/4/15,1.22,2015,Charlotte
9/27/15,1.09,2015,Charlotte
9/20/15,1.2,2015,Charlotte
9/13/15,1.19,2015,Charlotte
9/6/15,1.01,2015,Charlotte
8/30/15,1.2,2015,Charlotte
8/23/15,1.15,2015,Charlotte
8/16/15,1.24,2015,Charlotte
8/9/15,1.21,2015,Charlotte
8/2/15,1.24,2015,Charlotte
7/26/15,1.23,2015,Charlotte
7/19/15,1.19,2015,Charlotte
7/12/15,1.18,2015,Charlotte
7/5/15,1.18,2015,Charlotte
6/28/15,1.17,2015,Charlotte
6/21/15,1.17,2015,Charlotte
6/14/15,1.15,2015,Charlotte
6/7/15,1.15,2015,Charlotte
5/31/15,1.19,2015,Charlotte
5/24/15,1.2,2015,Charlotte
5/17/15,1.21,2015,Charlotte
5/10/15,1.19,2015,Charlotte
5/3/15,1,2015,Charlotte
4/26/15,1.2,2015,Charlotte
4/19/15,1.18,2015,Charlotte
4/12/15,1.17,2015,Charlotte
4/5/15,1.19,2015,Charlotte
3/29/15,1.23,2015,Charlotte
3/22/15,1.19,2015,Charlotte
3/15/15,1.19,2015,Charlotte
3/8/15,1.25,2015,Charlotte
3/1/15,1.18,2015,Charlotte
2/22/15,1.08,2015,Charlotte
2/15/15,1.22,2015,Charlotte
2/8/15,1.17,2015,Charlotte
2/1/15,0.98,2015,Charlotte
1/25/15,1.18,2015,Charlotte
1/18/15,1.25,2015,Charlotte
1/11/15,1.26,2015,Charlotte
1/4/15,1.19,2015,Charlotte
12/27/15,0.93,2015,Chicago
12/20/15,0.91,2015,Chicago
12/13/15,1.07,2015,Chicago
12/6/15,1.14,2015,Chicago
11/29/15,1.11,2015,Chicago
11/22/15,0.94,2015,Chicago
11/15/15,1.17,2015,Chicago
11/8/15,1.01,2015,Chicago
11/1/15,1,2015,Chicago
10/25/15,1.12,2015,Chicago
10/18/15,1.15,2015,Chicago
10/11/15,1.08,2015,Chicago
10/4/15,1.18,2015,Chicago
9/27/15,1.15,2015,Chicago
9/20/15,1.19,2015,Chicago
9/13/15,1.19,2015,Chicago
9/6/15,1.11,2015,Chicago
8/30/15,1.12,2015,Chicago
8/23/15,1.2,2015,Chicago
8/16/15,1.16,2015,Chicago
8/9/15,1.25,2015,Chicago
8/2/15,1.27,2015,Chicago
7/26/15,1.12,2015,Chicago
7/19/15,1.24,2015,Chicago
7/12/15,1.26,2015,Chicago
7/5/15,1.24,2015,Chicago
6/28/15,1.21,2015,Chicago
6/21/15,1.24,2015,Chicago
6/14/15,1.21,2015,Chicago
6/7/15,1.24,2015,Chicago
5/31/15,1.26,2015,Chicago
5/24/15,1.23,2015,Chicago
5/17/15,1.23,2015,Chicago
5/10/15,1.23,2015,Chicago
5/3/15,1.04,2015,Chicago
4/26/15,1.24,2015,Chicago
4/19/15,1.24,2015,Chicago
4/12/15,1.24,2015,Chicago
4/5/15,1.27,2015,Chicago
3/29/15,1.22,2015,Chicago
3/22/15,1.21,2015,Chicago
3/15/15,1.09,2015,Chicago
3/8/15,1.18,2015,Chicago
3/1/15,1.09,2015,Chicago
2/22/15,1.18,2015,Chicago
2/15/15,1.17,2015,Chicago
2/8/15,1.13,2015,Chicago
2/1/15,0.91,2015,Chicago
1/25/15,1.22,2015,Chicago
1/18/15,1.14,2015,Chicago
1/11/15,1.15,2015,Chicago
1/4/15,1.11,2015,Chicago
12/27/15,0.87,2015,CincinnatiDayton
12/20/15,0.85,2015,CincinnatiDayton
12/13/15,0.79,2015,CincinnatiDayton
12/6/15,0.83,2015,CincinnatiDayton
11/29/15,0.88,2015,CincinnatiDayton
11/22/15,0.89,2015,CincinnatiDayton
11/15/15,0.88,2015,CincinnatiDayton
11/8/15,0.87,2015,CincinnatiDayton
11/1/15,0.93,2015,CincinnatiDayton
10/25/15,1.01,2015,CincinnatiDayton
10/18/15,0.98,2015,CincinnatiDayton
10/11/15,0.91,2015,CincinnatiDayton
10/4/15,0.93,2015,CincinnatiDayton
9/27/15,1.08,2015,CincinnatiDayton
9/20/15,1.05,2015,CincinnatiDayton
9/13/15,1.05,2015,CincinnatiDayton
9/6/15,1.02,2015,CincinnatiDayton
8/30/15,1.01,2015,CincinnatiDayton
8/23/15,1.05,2015,CincinnatiDayton
8/16/15,1.01,2015,CincinnatiDayton
8/9/15,1.08,2015,CincinnatiDayton
8/2/15,1.09,2015,CincinnatiDayton
7/26/15,1.03,2015,CincinnatiDayton
7/19/15,1.06,2015,CincinnatiDayton
7/12/15,1.03,2015,CincinnatiDayton
7/5/15,1.03,2015,CincinnatiDayton
6/28/15,1.01,2015,CincinnatiDayton
6/21/15,1.02,2015,CincinnatiDayton
6/14/15,1.05,2015,CincinnatiDayton
6/7/15,1.07,2015,CincinnatiDayton
5/31/15,1.06,2015,CincinnatiDayton
5/24/15,1.1,2015,CincinnatiDayton
5/17/15,1.04,2015,CincinnatiDayton
5/10/15,1.06,2015,CincinnatiDayton
5/3/15,1.08,2015,CincinnatiDayton
4/26/15,1.06,2015,CincinnatiDayton
4/19/15,1.02,2015,CincinnatiDayton
4/12/15,1.02,2015,CincinnatiDayton
4/5/15,1.06,2015,CincinnatiDayton
3/29/15,0.95,2015,CincinnatiDayton
3/22/15,0.98,2015,CincinnatiDayton
3/15/15,0.94,2015,CincinnatiDayton
3/8/15,0.87,2015,CincinnatiDayton
3/1/15,0.89,2015,CincinnatiDayton
2/22/15,0.93,2015,CincinnatiDayton
2/15/15,0.94,2015,CincinnatiDayton
2/8/15,0.93,2015,CincinnatiDayton
2/1/15,0.86,2015,CincinnatiDayton
1/25/15,0.93,2015,CincinnatiDayton
1/18/15,0.93,2015,CincinnatiDayton
1/11/15,0.92,2015,CincinnatiDayton
1/4/15,0.88,2015,CincinnatiDayton
12/27/15,0.99,2015,Columbus
12/20/15,1.03,2015,Columbus
12/13/15,1.03,2015,Columbus
12/6/15,0.99,2015,Columbus
11/29/15,1.03,2015,Columbus
11/22/15,1.04,2015,Columbus
11/15/15,0.99,2015,Columbus
11/8/15,0.95,2015,Columbus
11/1/15,0.99,2015,Columbus
10/25/15,1.04,2015,Columbus
10/18/15,0.98,2015,Columbus
10/11/15,0.9,2015,Columbus
10/4/15,0.93,2015,Columbus
9/27/15,1.02,2015,Columbus
9/20/15,1,2015,Columbus
9/13/15,1.02,2015,Columbus
9/6/15,1.04,2015,Columbus
8/30/15,1.03,2015,Columbus
8/23/15,1.08,2015,Columbus
8/16/15,1.03,2015,Columbus
8/9/15,1,2015,Columbus
8/2/15,1.05,2015,Columbus
7/26/15,1.02,2015,Columbus
7/19/15,1.05,2015,Columbus
7/12/15,1.04,2015,Columbus
7/5/15,0.98,2015,Columbus
6/28/15,0.94,2015,Columbus
6/21/15,0.99,2015,Columbus
6/14/15,1.01,2015,Columbus
6/7/15,1.03,2015,Columbus
5/31/15,1.1,2015,Columbus
5/24/15,1.01,2015,Columbus
5/17/15,1,2015,Columbus
5/10/15,1.1,2015,Columbus
5/3/15,0.99,2015,Columbus
4/26/15,1.02,2015,Columbus
4/19/15,1,2015,Columbus
4/12/15,1.07,2015,Columbus
4/5/15,1.09,2015,Columbus
3/29/15,0.96,2015,Columbus
3/22/15,0.94,2015,Columbus
3/15/15,1.01,2015,Columbus
3/8/15,0.95,2015,Columbus
3/1/15,1.03,2015,Columbus
2/22/15,1.09,2015,Columbus
2/15/15,1.05,2015,Columbus
2/8/15,0.96,2015,Columbus
2/1/15,0.87,2015,Columbus
1/25/15,1.08,2015,Columbus
1/18/15,1.02,2015,Columbus
1/11/15,0.97,2015,Columbus
1/4/15,0.89,2015,Columbus
12/27/15,0.8,2015,DallasFtWorth
12/20/15,0.82,2015,DallasFtWorth
12/13/15,0.79,2015,DallasFtWorth
12/6/15,0.74,2015,DallasFtWorth
11/29/15,0.8,2015,DallasFtWorth
11/22/15,0.78,2015,DallasFtWorth
11/15/15,0.71,2015,DallasFtWorth
11/8/15,0.8,2015,DallasFtWorth
11/1/15,0.78,2015,DallasFtWorth
10/25/15,0.86,2015,DallasFtWorth
10/18/15,0.83,2015,DallasFtWorth
10/11/15,0.81,2015,DallasFtWorth
10/4/15,0.82,2015,DallasFtWorth
9/27/15,0.84,2015,DallasFtWorth
9/20/15,0.77,2015,DallasFtWorth
9/13/15,0.86,2015,DallasFtWorth
9/6/15,0.84,2015,DallasFtWorth
8/30/15,0.82,2015,DallasFtWorth
8/23/15,0.85,2015,DallasFtWorth
8/16/15,0.88,2015,DallasFtWorth
8/9/15,0.85,2015,DallasFtWorth
8/2/15,0.87,2015,DallasFtWorth
7/26/15,0.8,2015,DallasFtWorth
7/19/15,0.82,2015,DallasFtWorth
7/12/15,0.82,2015,DallasFtWorth
7/5/15,0.83,2015,DallasFtWorth
6/28/15,0.77,2015,DallasFtWorth
6/21/15,0.75,2015,DallasFtWorth
6/14/15,0.65,2015,DallasFtWorth
6/7/15,0.73,2015,DallasFtWorth
5/31/15,0.68,2015,DallasFtWorth
5/24/15,0.81,2015,DallasFtWorth
5/17/15,0.73,2015,DallasFtWorth
5/10/15,0.75,2015,DallasFtWorth
5/3/15,0.77,2015,DallasFtWorth
4/26/15,0.81,2015,DallasFtWorth
4/19/15,0.8,2015,DallasFtWorth
4/12/15,0.72,2015,DallasFtWorth
4/5/15,0.77,2015,DallasFtWorth
3/29/15,0.79,2015,DallasFtWorth
3/22/15,0.67,2015,DallasFtWorth
3/15/15,0.72,2015,DallasFtWorth
3/8/15,0.75,2015,DallasFtWorth
3/1/15,0.82,2015,DallasFtWorth
2/22/15,0.8,2015,DallasFtWorth
2/15/15,0.77,2015,DallasFtWorth
2/8/15,0.67,2015,DallasFtWorth
2/1/15,0.68,2015,DallasFtWorth
1/25/15,0.8,2015,DallasFtWorth
1/18/15,0.76,2015,DallasFtWorth
1/11/15,0.76,2015,DallasFtWorth
1/4/15,0.74,2015,DallasFtWorth
12/27/15,0.98,2015,Denver
12/20/15,1.05,2015,Denver
12/13/15,0.83,2015,Denver
12/6/15,0.76,2015,Denver
11/29/15,1.12,2015,Denver
11/22/15,0.85,2015,Denver
11/15/15,0.82,2015,Denver
11/8/15,0.93,2015,Denver
11/1/15,0.82,2015,Denver
10/25/15,0.93,2015,Denver
10/18/15,0.87,2015,Denver
10/11/15,0.9,2015,Denver
10/4/15,1.02,2015,Denver
9/27/15,0.97,2015,Denver
9/20/15,0.98,2015,Denver
9/13/15,1.01,2015,Denver
9/6/15,1.09,2015,Denver
8/30/15,1.14,2015,Denver
8/23/15,1.2,2015,Denver
8/16/15,1.17,2015,Denver
8/9/15,1.09,2015,Denver
8/2/15,1.05,2015,Denver
7/26/15,1.18,2015,Denver
7/19/15,1.1,2015,Denver
7/12/15,1.18,2015,Denver
7/5/15,1.19,2015,Denver
6/28/15,1.2,2015,Denver
6/21/15,1.16,2015,Denver
6/14/15,1.16,2015,Denver
6/7/15,1.11,2015,Denver
5/31/15,1.26,2015,Denver
5/24/15,1.16,2015,Denver
5/17/15,1.21,2015,Denver
5/10/15,1.08,2015,Denver
5/3/15,1.01,2015,Denver
4/26/15,1.19,2015,Denver
4/19/15,1.08,2015,Denver
4/12/15,1.05,2015,Denver
4/5/15,1.19,2015,Denver
3/29/15,1.11,2015,Denver
3/22/15,1.15,2015,Denver
3/15/15,1.03,2015,Denver
3/8/15,1.03,2015,Denver
3/1/15,1.03,2015,Denver
2/22/15,1,2015,Denver
2/15/15,1.12,2015,Denver
2/8/15,0.95,2015,Denver
2/1/15,0.93,2015,Denver
1/25/15,1.02,2015,Denver
1/18/15,0.99,2015,Denver
1/11/15,1.09,2015,Denver
1/4/15,0.99,2015,Denver
12/27/15,1.08,2015,Detroit
12/20/15,1.1,2015,Detroit
12/13/15,1.05,2015,Detroit
12/6/15,0.98,2015,Detroit
11/29/15,1.11,2015,Detroit
11/22/15,1.09,2015,Detroit
11/15/15,1.1,2015,Detroit
11/8/15,1.03,2015,Detroit
11/1/15,1.04,2015,Detroit
10/25/15,1.17,2015,Detroit
10/18/15,0.97,2015,Detroit
10/11/15,0.99,2015,Detroit
10/4/15,1.1,2015,Detroit
9/27/15,1.17,2015,Detroit
9/20/15,1,2015,Detroit
9/13/15,1.03,2015,Detroit
9/6/15,1.09,2015,Detroit
8/30/15,0.96,2015,Detroit
8/23/15,1.11,2015,Detroit
8/16/15,0.97,2015,Detroit
8/9/15,1.07,2015,Detroit
8/2/15,1.04,2015,Detroit
7/26/15,0.99,2015,Detroit
7/19/15,1.04,2015,Detroit
7/12/15,1.02,2015,Detroit
7/5/15,1.06,2015,Detroit
6/28/15,1,2015,Detroit
6/21/15,0.97,2015,Detroit
6/14/15,1.04,2015,Detroit
6/7/15,0.97,2015,Detroit
5/31/15,1.09,2015,Detroit
5/24/15,1.03,2015,Detroit
5/17/15,0.95,2015,Detroit
5/10/15,1.11,2015,Detroit
5/3/15,1.06,2015,Detroit
4/26/15,1.01,2015,Detroit
4/19/15,0.96,2015,Detroit
4/12/15,1.02,2015,Detroit
4/5/15,1.11,2015,Detroit
3/29/15,0.97,2015,Detroit
3/22/15,0.97,2015,Detroit
3/15/15,1.13,2015,Detroit
3/8/15,1.01,2015,Detroit
3/1/15,0.97,2015,Detroit
2/22/15,1.15,2015,Detroit
2/15/15,1.16,2015,Detroit
2/8/15,1.11,2015,Detroit
2/1/15,0.92,2015,Detroit
1/25/15,1.19,2015,Detroit
1/18/15,1.1,2015,Detroit
1/11/15,1.08,2015,Detroit
1/4/15,1.01,2015,Detroit
12/27/15,1.13,2015,GrandRapids
12/20/15,1.13,2015,GrandRapids
12/13/15,1.24,2015,GrandRapids
12/6/15,0.93,2015,GrandRapids
11/29/15,1.12,2015,GrandRapids
11/22/15,1.11,2015,GrandRapids
11/15/15,1.2,2015,GrandRapids
11/8/15,0.93,2015,GrandRapids
11/1/15,0.91,2015,GrandRapids
10/25/15,1.14,2015,GrandRapids
10/18/15,0.94,2015,GrandRapids
